species,country,pop_size_bin,pop_trend_bin,overall_impact_val,range,g_rank
MYOTIS_EVOTIS,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),High,"20,000-200,000",G3
MYOTIS_NIGRICANS,Mexico,"100,000 - 1,000,000 individuals",Relatively Stable (<=10% change),Medium,"200,000-2,500,000",G4
EUMOPS_AURIPENDULUS,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),Medium,"20,000-200,000",G4
MOLOSSUS_MOLOSSUS,Mexico,"100,000 - 1,000,000 individuals",Relatively Stable (<=10% change),Medium,"200,000-2,500,000",G4
BALANTIOPTERYX_PLICATA,Mexico,NA,NA,NA,NA,G4
PEROPTERYX_KAPPLERI,Mexico,NA,NA,NA,NA,G4
PEROPTERYX_MACROTIS,Mexico,NA,NA,NA,NA,G4
RHYNCHONYCTERIS_NASO,Mexico,NA,NA,NA,NA,G4
SACCOPTERYX_BILINEATA,Mexico,NA,NA,NA,NA,G5
ANOURA_GEOFFROYI,Mexico,NA,NA,NA,NA,G4
ARTIBEUS_JAMAICENSIS,Mexico,NA,NA,NA,NA,G5
ARTIBEUS_LITURATUS,Mexico,NA,NA,NA,NA,G5
CAROLLIA_PERSPICILLATA,Mexico,NA,NA,NA,NA,G5
CAROLLIA_SOWELLI,Mexico,NA,NA,NA,NA,G5
DERMANURA_PHAEOTIS,Mexico,NA,NA,NA,NA,G5
DERMANURA_TOLTECA,Mexico,NA,NA,NA,NA,G5
DERMANURA_WATSONI,Mexico,NA,NA,NA,NA,G5
DESMODUS_ROTUNDUS,Mexico,NA,NA,NA,NA,G5
DIPHYLLA_ECAUDATA,Mexico,NA,NA,NA,NA,G4
GLOSSOPHAGA_COMMISSARISI,Mexico,NA,NA,NA,NA,G5
GLOSSOPHAGA_MUTICA,Mexico,NA,NA,NA,NA,G5
LEPTONYCTERIS_YERBABUENAE,Mexico,NA,NA,NA,NA,G4
MACROTUS_CALIFORNICUS,Mexico,NA,NA,NA,NA,G4
MACROTUS_WATERHOUSII,Mexico,NA,NA,NA,NA,G4
MICRONYCTERIS_MICROTIS,Mexico,NA,NA,NA,NA,G4
PHYLLOSTOMUS_DISCOLOR,Mexico,NA,NA,NA,NA,G4
STURNIRA_HONDURENSIS,Mexico,NA,NA,NA,NA,G5
STURNIRA_PARVIDENS,Mexico,NA,NA,NA,NA,G5
PTERONOTUS_FULVUS,Mexico,NA,NA,NA,NA,G4
PTERONOTUS_MESOAMERICANUS,Mexico,NA,NA,NA,NA,G5
PTERONOTUS_MEXICANUS,Mexico,NA,NA,NA,NA,G5
PTERONOTUS_PSILOTIS,Mexico,NA,NA,NA,NA,G5
NATALUS_MEXICANUS,Mexico,NA,NA,NA,NA,G4
MOLOSSUS_ALVAREZI,Mexico,NA,NA,NA,NA,G5
