species,country,spp_abbrev,common_name,area,x
Myotis evotis,Mexico,MYEVO,Long-eared Myotis,96724837687.583,"list(list(c(-114.772737754709, -115.292211933376, -115.491667, -115.583333, -115.47, -115.459122, -114.729227020179, -114.771231859174, -114.772737754709, 30.9180073165178, 31.0334108794022, 31.016667, 30.966667, 30.89, 30.883431, 30.5909765244835, 30.9136172551653, 30.9180073165178)), list(c(-112.574730103747, -106.136711228033, -106.083333, -113.037537800459, -112.809594489374, -112.574730103747, 29.6933533118666, 26.7002744233609, 28.633333, 30.5153833792212, 30.0211135930523, 29.6933533118666
)))"
Sturnira parvidens,Mexico,STPAR,Northern Yellow-shouldered Bat,1148900736631.19,"list(c(-97.677875159092, -108.364168, -108.731941589393, -109.00494591286, -108.802220353912, -107.920258772554, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.614039197664, -105.184355908768, -105.020621165461, -104.966451711434, -104.874127297034, -100.346791694273, -97.3628288580004, -96.2073605773558, -96.0533821276533, -95.250227016973, -94.6916564603301, -93.8751688301185, 
-93.3594638740618, -92.5532633535133, -92.3746521670406, -92.293892, -92.0915614957863, -92.2292486234063, -91.747960171256, -91.1162745529034, -90.6414317401559, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.3796213318795, -88.4979038570205, -87.4164167967637, -87.3832911852359, -87.2266330523896, -87.004364, -88.8536667047269, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, 
-92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7029455228422, -97.677875159092, 24.376057055985, 27.118478, 27.2242225170688, 27.0428991230045, 26.0439539970184, 24.5551178092513, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 
20.8168950464661, 20.5317186548634, 20.4685267855083, 19.6773709238825, 19.436517854058, 19.3851184751179, 19.3133171990689, 17.2484964494323, 15.9838454779117, 15.722108479107, 15.7520879175396, 16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 14.8501757474042, 14.8058614994295, 14.861389, 15.0703079851009, 15.2514466414959, 16.0665648462518, 16.0689956629799, 16.5500931006599, 16.6874830184548, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 
17.8115481273014, 18.677903264955, 20.1708796600386, 20.2554047713987, 20.4293499851953, 20.730701, 21.4264840282422, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 24.2723430445267, 24.376057055985))"
Eptesicus furinalis,Mexico,EPFUR,Argentinian Brown Bat,689884111488.483,"list(c(-97.7707311606594, -99.098785, -105.135247625977, -104.65809639254, -97.0822647748582, -95.6975992967171, -95.250227016973, -94.6916564603301, -93.8751688301185, -93.3594638740618, -93.2155124117722, -92.7366072476877, -92.4659341537497, -91.7853093456068, -91.747960171256, -91.6987341085924, -90.7823058263743, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.269440570431, -89.1477328719242, -89.1509093899955, -89.0298573473518, -89.0129691995394, 
-88.6229623302151, -88.4901228502793, -88.3000310940936, -88.2829168854286, -87.6023314887377, -89.4099647175136, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7707311606594, 23.0308382598359, 
23.261763, 20.3738866390678, 19.3340279889453, 16.1516119455423, 15.9192917202403, 16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 15.4794108865539, 15.3911092532931, 15.5038263022994, 16.0035813766436, 16.0665648462518, 16.0668208241499, 16.7315989745462, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8100793929176, 17.8957932167785, 17.9554676376004, 18.0015113387726, 17.9905171847741, 18.2635503036818, 18.4868305526417, 18.49998220466, 
18.5013532628022, 20.8694708802565, 21.3042445210369, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 23.0308382598359))"
Chiroderma villosum,Mexico,CHVIL,Hairy Big-eyed Bat,596611546630.611,"list(c(-97.4441831674219, -105.158318, -105.333333, -103.916667, -95.0326094978703, -94.6916564603301, -93.8751688301185, -93.3594638740618, -93.2182774207026, -92.1157577283687, -92.0997928297781, -92.2292486234063, -91.747960171256, -91.2481194157466, -90.7106333060374, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.7127037719639, -86.936903, -89.9917877794515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, 
-91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.4441831674219, 21.4981523854101, 21.549953, 19.866667, 19.166667, 16.1568046413798, 16.2009752466429, 15.9401642928659, 15.6154295923437, 15.4820260933308, 15.0625162399553, 15.0811480319836, 15.2514466414959, 16.0665648462518, 16.0686412673604, 16.6851649769028, 16.6874830184548, 16.9184766707995, 
17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8156128176626, 20.857178, 21.1111972278754, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.4981523854101))"
Rhogeessa tumida,Mexico,RHTUM,Black-winged Little Yellow Bat,331292344459.642,"list(c(-97.7270271261127, -97.7764761229947, -99.098785, -99.101006, -99.158501, -98.8891068595481, -98.5681, -95.3536156579676, -94.9867620391042, -94.6916564603301, -93.8751688301185, -93.3594638740618, -92.711873542088, -92.3602078597785, -92.293892, -92.1615925114826, -92.1223787998836, -92.087215949252, -92.2292486234063, -91.747960171256, -91.194631216245, -90.690738427395, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.6583400479033, 
-86.896048, -88.8214558163786, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7270271261127, 23.8339895560186, 23.8457043996578, 23.261763, 23.259541, 23.11343, 21.963503560818, 21.171499, 
16.3466100528811, 16.1627769379546, 16.2009752466429, 15.9401642928659, 15.6154295923437, 15.0013948587502, 14.81863889198, 14.861389, 14.9477988865525, 14.9935753231872, 15.0645846623285, 15.2514466414959, 16.0665648462518, 16.0687947704834, 16.646354749327, 16.6874830184548, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.814987928333, 20.839098, 21.4334995750273, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 
18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 23.8339895560186))"
Diphylla ecaudata,Mexico,DIECA,Hairy-legged Vampire Bat,304381714743.584,"list(c(-97.7698656283779, -99.098785, -99.571457, -97.0225, -95.0416664481209, -92.720276, -91.0659822771459, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -90.0591510959319, -88.0451171852064, -86.9164818856084, -89.1392130484174, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, 
-96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7698656283779, 23.0468388157553, 23.261763, 21.184546, 18.87, 17.0921303568494, 15.382778, 16.9087035087955, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8192420098913, 19.5973061668059, 20.8505841076595, 21.3639931926656, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 
18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 23.0468388157553))"
Lampronycteris brachyotis,Mexico,LABRA,Orange-throated Bat,0,"c(-88.996425, 18.139415)"
Platyrrhinus helleri,Mexico,PLHEL,Heller's Broad-nosed Bat,179898955384.895,"list(c(-96.0922960599441, -97.311111, -96.3000312110007, -95.4077854645129, -94.1564471388213, -93.8751688301185, -93.3594638740618, -92.8597195879095, -92.3746521670406, -92.1034797010035, -92.2292486234063, -91.747960171256, -91.143703838451, -90.6507940576358, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.4070322015948, -88.790563, -91.9298546971981, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, 
-94.8390634834427, -95.90088497596, -96.0922960599441, 19.069368419322, 19.149723, 17.7623724348737, 16.8729730629473, 16.0304396133195, 15.9401642928659, 15.6154295923437, 15.1420604101784, 14.8058614994295, 15.0860029090429, 15.2514466414959, 16.0665648462518, 16.0689285815862, 16.5683794971468, 16.6874830184548, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8119039318794, 18.419107, 18.7340335010913, 18.7045692001034, 18.5248385685923, 18.4238369816779, 
18.1443708358434, 18.5627173934622, 18.8280241968487, 19.069368419322))"
Bauerus dubiaquercus,Mexico,BADUB,Van Gelder's Bat,0,"c(-90.2332221704023, 18.6006810183934)"
Mimon cozumelae,Mexico,MICOZ,Cozumelan Golden Bat,119800732688.164,"list(c(-96.0114293079253, -96.7694892633906, -95.033333, -94.7530488945869, -92.9109502134346, -90.066667, -88.2012345295299, -88.1506785114172, -89.5498789445886, -90.4124588684252, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.0114293079253, 18.967515211124, 18.7064920062921, 17.198894, 17.1876814807927, 17.5487247892696, 18.25, 20.6911446950159, 21.1972330289916, 
21.0325143778844, 20.7736212908473, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 18.967515211124))"
Peropteryx macrotis,Mexico,PEMAC,Lesser Dog-like Bat,382101603917.663,"list(c(-96.8060093661899, -102.36306, -99.4816045486596, -95.2036120579149, -93.5432939504748, -91.3032776441832, -91.4539212715151, -91.0221932265435, -91.0022564855016, -91.001519945016, -90.0679335192309, -89.8565692997586, -89.4412577838574, -88.0451171427529, -87.5920532084484, -88.1506785114172, -90.2816121265696, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, 
-96.2921272448418, -96.5255755277203, -96.8060093661899, 20.2066544616459, 19.336941, 17.2729418892146, 16.3252225100351, 16.0030207798817, 17.1173601918478, 17.2521772323242, 17.2545695426879, 17.2642789980163, 17.8175949162457, 17.8193260767275, 17.8171939817873, 18.0151547039589, 19.5792510047251, 20.8555825275578, 21.1972330289916, 20.9948035688343, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 
18.8280241968487, 19.3203714055095, 19.8909308944441, 20.2066544616459))"
Nyctinomops laticaudatus,Mexico,NYLAT,Broad-eared Free-tailed Bat,626477075662.381,"list(c(-97.6141943183511, -100.123413, -104.515406, -95.238892, -92.449391, -90.2190560112012, -88.1506785114172, -88.7696718978681, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7029455228422, 
-97.6141943183511, 24.6387166193702, 25.427008, 19.1331, 16.324444, 16.7432, 18.6709557274891, 21.1972330289916, 21.4447638133786, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 24.2723430445267, 24.6387166193702
))"
Lophostoma evotis,Mexico,LOEVO,Davis' Round-eared Bat,0,"c(-90.066667, -90.8554600634805, 18.25, 18.607346240788)"
Trachops cirrhosus,Mexico,TRCIR,Fringe-lipped Bat,167640602208.857,"list(c(-94.8842320676271, -95.0666714495748, -96.6055965087996, -96.763748, -94.8074957045806, -94.6916564603301, -93.8751688301185, -93.3594638740618, -93.2121504799589, -92.153444, -92.0899690947407, -92.2292486234063, -91.747960171256, -91.2029478952811, -90.6887929899029, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.6251629114269, -89.4412577838574, -90.066667, -93.1777422195252, -93.5486512926824, -94.4257295397562, -94.8390634834427, 
-94.8842320676271, 18.5741416952778, 18.5840025837285, 18.4301165946767, 17.033331, 16.1860313437163, 16.2009752466429, 15.9401642928659, 15.6154295923437, 15.4762309615711, 14.996106, 15.0682107510514, 15.2514466414959, 16.0665648462518, 16.068771774852, 16.6425587121004, 16.6874830184548, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8145991857345, 18.0151547039589, 18.25, 18.4733614377849, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.5741416952778
))"
Chrotopterus auritus,Mexico,CHAUR,Woolly False Vampire Bat,151641089137.973,"list(c(-95.0510363081114, -95.2050076505554, -94.753052, -91.7390855156517, -91.0564759619571, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.2722109261694, -87.5920532084484, -88.1506785114172, -90.4852211181963, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.0510363081114, 18.6162243535795, 18.5546705958285, 17.186945, 16.0952427284053, 16.9027802093678, 16.9184766707995, 
17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260479481, 20.8555825275578, 21.1972330289916, 20.363384540204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.6162243535795))"
Myotis keaysi,Mexico,MYKEA,Hairy-legged Myotis,357487296286.341,"list(c(-97.7707096004834, -99.098785, -99.192116, -99.2658493675375, -99.270225, -98.3895271491786, -92.260559, -92.1418342880157, -92.2292486234063, -91.747960171256, -91.2796871578812, -90.7079769127145, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.6331227780956, -89.4412577838574, -88.0451171852064, -87.5314967461089, -89.4033933795124, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, 
-91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7707096004834, 23.0312368755862, 23.261763, 23.099819, 22.3633328167759, 21.940893, 18.5726045957818, 15.007222, 15.1364915795444, 15.2514466414959, 16.0665648462518, 16.0685444404175, 16.6799839989821, 16.6874830184548, 16.9184766707995, 
17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8146929633177, 18.0151547039589, 19.5973061668059, 20.8555826509015, 21.3057003738263, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 
23.0312368755862))"
Myotis thysanodes,Mexico,MYTHY,Fringed Myotis,983996544621.003,"list(c(-105.360799188978, -104.719562607056, -103.609209178596, -98.653068, -99.7689777483424, -102.522989950197, -103.11, -103.94, -104.45697, -104.70575, -104.773870171336, -110.796429672646, -111.02361, -111.258166019966, -115.9, -116.066667, -115.61422, -114.353155913516, -114.673899298952, -114.771231859174, -114.936699795372, -114.776451178835, -114.205736660604, -113.871881069782, -113.148669399857, -113.163810594519, -112.809594489374, -112.271823696729, -112.22823462609, -111.759606899852, 
-111.178918830188, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, -109.444089321717, -109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.360799188978, 20.9748350592346, 20.2782255899398, 19.6106946600024, 20.580391, 23.9703046141573, 29.7065756467801, 28.97, 29.27, 29.57196, 30.12173, 30.2295409618109, 31.3370962876479, 31.33472, 31.4095146934424, 
32.04, 31.85, 30.86402, 29.7772282597265, 30.162681179316, 30.9136172551653, 31.3934846054276, 31.7995321721611, 31.5240451116131, 31.5676083440352, 31.1709658879789, 30.7868808049694, 30.0211135930523, 29.2668443873201, 28.9544086776835, 28.4679525823039, 27.9412405461691, 27.8598760035255, 27.1621149765045, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 
21.0762848983551, 20.9748350592346))"
Nyctinomops femorosaccus,Mexico,NYFEM,Pocketed Free-tailed Bat,966168975947.32,"list(c(-105.190018934995, -104.96212, -99.0298346451742, -100.482679117242, -102.952192724309, -103.11, -103.94, -104.45697, -104.497859469619, -110.512525860393, -111.02361, -112.836719177092, -113.01667, -116.617508, -109.926667, -109.827049477452, -109.433392300233, -109.409104377056, -109.771847093529, -110.172856208113, -110.655048997829, -110.710006883571, -110.987819383572, -111.284674648873, -111.616489020619, -112.244951951937, -112.457910529412, -112.761587083775, -112.962298346797, -113.140039435664, 
-113.271969367306, -113.424053107541, -113.588875088335, -114.330974494263, -114.673899298952, -114.771231859174, -114.936699795372, -114.776451178835, -114.205736660604, -113.871881069782, -113.148669399857, -113.163810594519, -112.809594489374, -112.271823696729, -112.22823462609, -111.759606899852, -111.178918830188, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, -109.444089321717, -109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, 
-105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.731396043708, -105.493038499761, -105.190018934995, 19.5661206494337, 19.398184, 22.6085309377737, 25.655044746567, 29.1693141273149, 28.97, 29.27, 29.57196, 29.6627679548556, 31.3395032947326, 31.33472, 31.8987328690596, 31.94, 31.866745, 22.909444, 22.8420804938542, 23.1855876734287, 23.3646723495362, 23.8111825627542, 24.2655475936804, 24.2985946721311, 24.8260043401019, 25.2946062281246, 
25.7325898300144, 26.6628172877005, 27.1717267929108, 27.5258137069748, 27.7802167831475, 28.4251903345825, 28.411289374296, 28.7547826197399, 28.8261736109512, 29.061611436473, 29.7504324407074, 30.162681179316, 30.9136172551653, 31.3934846054276, 31.7995321721611, 31.5240451116131, 31.5676083440352, 31.1709658879789, 30.7868808049694, 30.0211135930523, 29.2668443873201, 28.9544086776835, 28.4679525823039, 27.9412405461691, 27.8598760035255, 27.1621149765045, 26.6761756454479, 26.4429340682984, 
25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.4341018742641, 19.9467672795354, 19.5661206494337))"
Natalus mexicanus,Mexico,"NAMEX",Mexican Greater Funnel-eared Bat,1221503283042.01,"list(list(c(-97.590435061275, -109.838516, -109.962346277937, -109.801457689232, -109.291643846456, -109.444089321717, -109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.731396043708, -105.493038499761, -105.282642241091, -104.700318022968, -97.5400550992111, -95.4897394531348, -95.250227016973, -94.6916564603301, -94.088221908699, -93.5432939504748, 
-91.0016747114626, -91.001519945016, -90.8236135488827, -88.0451171852064, -88.415406526884, -88.5206532201399, -89.666246206992, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7029455228422, -97.590435061275, 
24.7364262693633, 29.004875, 26.8092843991693, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.4341018742641, 19.9467672795354, 19.6827187494012, 19.2465549768729, 16.0118985867731, 16.0165801347067, 16.1283181828406, 16.2009752466429, 16.0085840366606, 16.0030207798817, 17.7016096590619, 17.8175949162457, 
17.818266603683, 19.5973061668059, 20.6197584756092, 20.6835483609437, 21.236779988888, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 24.2723430445267, 24.7364262693633)), list(c(-110.104069918934, -110.125397, -110.140226, 
-110.100374356769, -109.765546795354, -109.433392300233, -109.409104377056, -109.771847093529, -110.104069918934, 24.1879117658905, 23.783592, 23.303633, 23.1254097687524, 22.8959274051539, 23.1855876734287, 23.3646723495362, 23.8111825627542, 24.1879117658905)))"
Rhynchonycteris naso,Mexico,RHNAS,Proboscis Bat,179374645958.985,"list(c(-96.0959024405285, -96.1428095290336, -96.3495257242485, -96.3247569125921, -94.9394414796516, -93.100658, -92.247498, -92.1256749242883, -92.2292486234063, -91.747960171256, -91.0788219463821, -90.6110677591431, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.1430804105033, -89.1509093899955, -89.0298573473518, -88.9599769484141, -88.7, -88.5, -90.671702801793, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, 
-93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.0959024405285, 19.0739069955888, 19.0692546891084, 18.8411338434049, 18.7698242820588, 17.247123093176, 15.572235, 15.003333, 15.1152236611811, 15.2514466414959, 16.0665648462518, 16.0690816171602, 16.490759707807, 16.6874830184548, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8083189966494, 17.9554676376004, 18.0015113387726, 17.956000938455, 18.183333, 19.666667, 19.5298768435805, 
19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.0739069955888))"
Myotis nigricans,Mexico,MYNIG,Black Myotis,550226995171.24,"list(c(-97.8194355759147, -99.101006, -105.158318, -105.169121359871, -105.231360790043, -104.65809639254, -95.2876805266808, -95.250227016973, -94.6916564603301, -93.8751688301185, -93.3594638740618, -92.938781559202, -92.408087, -91.982223, -93.1253613169376, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8194355759147, 22.2780831765914, 23.259541, 21.549953, 21.5399403162682, 
20.5993218833556, 19.3340279889453, 16.1108711254347, 16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 15.217166648818, 15.010739, 17.509167, 18.4802950307922, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.2780831765914))"
Myotis elegans,Mexico,MYELE,Elegant Myotis,179975410785.132,"list(c(-97.6306167385146, -99.373138, -96.806663, -92.591667, -91.829160929331, -91.747960171256, -91.674421456181, -90.8631805310733, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.6740045404945, -89.4412577838574, -91.322192320893, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6306167385146, 
21.7914070778063, 22.522036, 18.713055, 15.248333, 15.9295736716943, 16.0665648462518, 16.0669431014203, 16.7821639129837, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8151695267769, 18.0151547039589, 18.9313138974426, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.7914070778063))"
