Species,Question,Outliers ,Id,,,,,,,,,,,,,,,,,,,,,,
Promops centralis,PS,x,FDFyaiOK1meiZh3,,,,,,,,,,,,,,,,,,,,,,
Pteronotus gymnonotus,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Pteronotus gymnonotus,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Pteronotus gymnonotus,PS,x,CMDizkyMX6dQuxi,,,,,,,,,,,,,,,,,,,,,,
Uroderma davisi,PS,x,GKKyGHWtpfIG3Wu,,,,,,,,,,,,,,,,,,,,,,
Uroderma davisi,PS,x,Wlx2mlaEC2phUPz,,,,,,,,,,,,,,,,,,,,,,
Enchisthenes hartii,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Enchisthenes hartii,PS,x,Wlx2mlaEC2phUPz,,,,,,,,,,,,,,,,,,,,,,
Eptesicus brasiliensis,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Eumops auripendulus,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Eumops auripendulus,PS,x,CMDizkyMX6dQux,,,,,,,,,,,,,,,,,,,,,,
Eumops ferox,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Eumops ferox,PS,x,Wlx2mlaEC2phUPz,,,,,,,,,,,,,,,,,,,,,,
Eumops ferox,PS,x,OSxvs7oEKAPZPv6,,,,,,,,,,,,,,,,,,,,,,
Eumops ferox,PS,x,0Jt806BefXEix5s,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa gracilis,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa gracilis,PS,x,Y7qmHSA8qC1zXha,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa gracilis,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa mira,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa mira,PS,x,Oug0a3aapOqUZMY,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa mira,PS,x,CMDizkyMX6dQuxi,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa mira,PS,x,pZSZ2S7XtDpnG1c,,,,,,,,,,,,,,,,,,,,,,
Saccopteryx leptura,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Saccopteryx leptura,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Saccopteryx leptura,PS,x,Wlx2mlaEC2phUPz,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa alleni,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa alleni,PS,x,LGf03kcKcQgso3t,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa alleni,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa alleni,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa bickhami,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa bickhami,PS,x,GKKyGHWtpfIG3Wu,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa genowaysi,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa genowaysi,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Rhogeessa genowaysi,PS,x,CMDizkyMX6dQuxi,,,,,,,,,,,,,,,,,,,,,,
Tadarida brasiliensis,PS,x,GtYTUkO0Hz0or23,,,,,,,,,,,,,,,,,,,,,,
Tadarida brasiliensis,PS,x,qexQ7smFsz1oQIt,,,,,,,,,,,,,,,,,,,,,,
Tadarida brasiliensis,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Thyroptera tricolor,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Thyroptera tricolor,PS,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
Tonatia bakeri,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Tonatia bakeri,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Trachops cirrhosus,PS,x,CMDizkyMX6dQuxi,,,,,,,,,,,,,,,,,,,,,,
Trinycteris nicefori,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Trinycteris nicefori,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Trinycteris nicefori,PS,x,pZSZ2S7XtDpnG1c,,,,,,,,,,,,,,,,,,,,,,
Trinycteris nicefori,PS,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
Uroderma convexum,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Uroderma convexum,PS,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
AnAntrozous pallidus,PT,x,6eGTOMfYfRNKfor,,,,,,,,,,,,,,,,,,,,,,
Centronycteris centralis,PT,x,FDFyaiOK1meiZh3,,,,,,,,,,,,,,,,,,,,,,
Centurio senex,PT,x,7r7Ys7dDyQVMFek,,,,,,,,,,,,,,,,,,,,,,
Centurio senex,PT,x,LsgX2odo0mnYaP5,,,,,,,,,,,,,,,,,,,,,,
Chrotopterus auritus,PT,x,FDFyaiOK1meiZh3,,,,,,,,,,,,,,,,,,,,,,
Choeroniscus godmani,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Choeronycteris mexicana,PT,x,3YYLpKBrhddOTqp,,,,,,,,,,,,,,,,,,,,,,
Choeronycteris mexicana,PT,x,xSCXILAei4NZMw2,,,,,,,,,,,,,,,,,,,,,,
Chiroderma villosum,PT,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
